url_path,views_total,views_unique
/vikrg23/OpenROAD/tree/ffea9203af30dff60372eac131f9fe0a3737478c,22,13
/vikrg23/OpenROAD/blob/ffea9203af30dff60372eac131f9fe0a3737478c/docs/user/Build.md,9,3
/vikrg23/OpenROAD/blob/ffea9203af30dff60372eac131f9fe0a3737478c/docs/index.md,4,1
/vikrg23/OpenROAD/tree/ffea9203af30dff60372eac131f9fe0a3737478c/etc,3,1
/vikrg23/OpenROAD/commit/ffea9203af30dff60372eac131f9fe0a3737478c,2,1
/vikrg23/OpenROAD/tree/master,2,1
/vikrg23/OpenROAD,1,1
/vikrg23/OpenROAD/actions/runs/14631068759/job/41053315650,1,1
/vikrg23/OpenROAD/actions/workflows/github-actions-format-on-push.yml,1,1
/vikrg23/OpenROAD/blob/ffea9203af30dff60372eac131f9fe0a3737478c/docs/user/FAQS.md,1,1
