time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-24 00:00:00+00:00,33,9,6,1
2025-04-25 00:00:00+00:00,6,4,5,5
2025-04-26 00:00:00+00:00,2,2,0,0
2025-04-27 00:00:00+00:00,1,1,2,2
2025-04-28 00:00:00+00:00,2,2,0,0
2025-04-29 00:00:00+00:00,3,2,1,1
2025-04-30 00:00:00+00:00,10,4,24,2
2025-05-01 00:00:00+00:00,20,6,29,5
2025-05-02 00:00:00+00:00,3,3,1,1
2025-05-03 00:00:00+00:00,8,5,0,0
2025-05-04 00:00:00+00:00,6,5,0,0
2025-05-05 00:00:00+00:00,7,4,1,1
2025-05-06 00:00:00+00:00,7,5,0,0
2025-05-07 00:00:00+00:00,6,4,19,7
2025-05-08 00:00:00+00:00,10,7,4,3
2025-05-09 00:00:00+00:00,7,5,3,1
2025-05-10 00:00:00+00:00,6,4,0,0
2025-05-11 00:00:00+00:00,8,5,3,2
2025-05-12 00:00:00+00:00,11,7,9,3
2025-05-13 00:00:00+00:00,0,0,12,5
